Geneid,Length,mR_Ctrl_1,mR_Ctrl_2,mR_XS1_1,mR_XS1_2,mR_XS2_1,mR_XS2_2,mR_XS4_1,mR_XS4_2
ENSG00000284662,936,0,0,0,0.33,0.45,0,0.9,0.58
ENSG00000186827,831,1,0,1,0,0,0,1,1
ENSG00000186891,976,1,1,0,0,1,0,0,1
ENSG00000160072,1944,3885.24,4231.78,5587.24,5650.3,4252.03,4517.93,4966.11,6373.95
ENSG00000041988,1150,513,511.5,646,651.5,501.5,556.5,568.5,738
ENSG00000142611,3849,385,422,498,397,373,346,398,404
ENSG00000067606,1966,1544,1671,2184,2013,1562.5,1667.5,1640,2059
ENSG00000131584,2549,842,865,1440,1361,979,990,1010,1220
ENSG00000169972,909,1551,1608,2186,2029,1603,1783.5,1930.5,2326
ENSG00000157911,1145,694,792,904,814,662,693,783,1008.5
ENSG00000224051,642,441,462,506,533,485,480,424,582
ENSG00000157933,2184,1623,1605,1704,1529,1373,1320,1473,1536
ENSG00000162591,5046,39,47,63,54,55,43.5,48,58
ENSG00000169962,2556,1,2,1,1,1,5,2,4
ENSG00000116285,1471,532,535,725,559,546,489,590,650
ENSG00000142655,1139,1109,1196,1400,1327,1054,1143,1189,1387
ENSG00000149527,4916,2,3,2,5,1,3,3,9
ENSG00000007923,2097,3362,3637,3886,3883,3192,3160.5,3512,3796.5
ENSG00000171621,819,123,128,156,167,133,147,123,140
ENSG00000162441,671,380,409,459,334,337,283,393,425
ENSG00000187017,4489,19,31,36,30,29.33,29,25,51
ENSG00000285629,159,2194.4,2212.92,2574.7,2272.76,1882.02,2006.32,2111.01,2452.95
ENSG00000173673,558,1,0,0,3,0,1,1,3
ENSG00000142583,1664,4,6,5,8,2,9,8,5
ENSG00000107404,2093,3337.5,3468,4519.5,4112,3312,3518.5,3670,4457.5
ENSG00000177000,2246,543,551,770,671,543,623,609,722
ENSG00000069424,2570,143,127,133,138,118,142,140,169
ENSG00000074800,1361,84189.33,91427,94269.57,95082.17,75479.5,86277,80076.17,99238.5
ENSG00000116786,3057,3369,3751,4356.5,4215.5,3266,3692,3604,4475
ENSG00000176022,987,815.5,820,815,752,657,695.5,803,939
ENSG00000162496,906,229,228,295,267,242,273,213,254
ENSG00000131686,1297,0,0,0,0,0,0,0,0
ENSG00000162494,882,2,2,1,4,2,3,0,3
ENSG00000173614,883,217.5,213.5,299.5,269.5,207.5,218,236.5,254.5
ENSG00000279804,1437,0,0,0,0,0,0,0,0
ENSG00000116273,900,502,538,705,733,520,586,647,676
ENSG00000162592,1968,0,1,0,1,1,0,0,1
ENSG00000116254,6212,49,34,85,82,57,59,76,81.5
ENSG00000049245,300,509,500,469,397,412,340,411,399
ENSG00000204624,4210,47,44,138,134,98,80,111,120
ENSG00000171603,3067,5590.5,6206.33,6443,6310,4995,5315,5364.67,6155
ENSG00000142606,2366,8,13,19,11,11,12,11,12
ENSG00000177674,831,1188,1330,1566,1481,1162,1216,1248,1621
ENSG00000162572,2486,158,144,269,217,196,152,208,242
ENSG00000171608,3311,548.5,604,725.5,618.5,562.5,583,494,579
ENSG00000171729,759,238,223,236,192,167,190,212,221
ENSG00000175262,2500,21,19,37,22,18,18,14,23
ENSG00000162571,2109,0,0,0,1,0,0,0,0
